"CleanupRunID","SourcePath","DestinationPath","DispositionClass","LengthBytes","SHA256Before","SHA256After","HashPreserved","ExecutionStatus","ExecutedAt"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","ARCHIVE_TEMPORARY_DEBUG","11909","11E2EF85C3BF0B9C3EACDDCCA51CF4EC1B9AD4B27AF7CF82B58FBF32C5DF7383","11E2EF85C3BF0B9C3EACDDCCA51CF4EC1B9AD4B27AF7CF82B58FBF32C5DF7383","True","ARCHIVED","2026-07-24T17:16:05.1308955-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","ARCHIVE_TEMPORARY_DEBUG","11962","998826CA67A536DBE9C311E94A96D14F1248C92B19A7FDC3A0D42A05F8C815BC","998826CA67A536DBE9C311E94A96D14F1248C92B19A7FDC3A0D42A05F8C815BC","True","ARCHIVED","2026-07-24T17:16:05.1378992-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","ARCHIVE_TEMPORARY_DEBUG","11960","9D520C5691C45AAD2F2861169EAEF074414DB1756CC32548B54B962A790E9C0E","9D520C5691C45AAD2F2861169EAEF074414DB1756CC32548B54B962A790E9C0E","True","ARCHIVED","2026-07-24T17:16:05.1448999-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1528905-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1618886-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1708996-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1794034-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1874072-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Reports\BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Reports\BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","ARCHIVE_EMPTY_PLACEHOLDER","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","True","ARCHIVED","2026-07-24T17:16:05.1977410-05:00"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_5_Constitutional_Validation\_FAILED_REPAIR_BACKUP_20260724_165401\Evidence\BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Failed_Runs\Stage_5_Constitutional_Validation\_FAILED_REPAIR_BACKUP_20260724_165401\Evidence\BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","ARCHIVE_FAILED_RUN","2892","B1E698E6C6B2EECB75DF971175331725359D03364D15875F74DFC1E02CF53230","B1E698E6C6B2EECB75DF971175331725359D03364D15875F74DFC1E02CF53230","True","ARCHIVED","2026-07-24T17:16:05.2114082-05:00"
