"TheoremID","TrialName","RecordType","SourceFile","SourceLine","Sequence","FieldOrRule","Classification","CurrentStatus"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","1","ResponseID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","2","ObserverID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","3","CaseID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","4","EntryCondition","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","5","ObserverClass","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","6","PriorExposure","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","7","SubmittedAt","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","8","ResponseText","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","9","SourceReferences","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","10","DeclaredUncertainty","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","OBSERVER_RESPONSES.csv","1","11","ResponseStatus","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","1","AssessmentID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","2","ResponseID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","3","PropertyID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","4","PropertyClass","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","5","Compensability","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","6","AssessorID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","7","AssessmentResult","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","8","Materiality","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","9","EvidenceReference","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","10","Rationale","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","11","AdjudicationStatus","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","SEMANTIC_ASSESSMENTS.csv","1","12","FinalResult","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","TRIAL_CASES.csv","1","1","CaseID","SCHEMA_COLUMN","SCHEMA_PRESENT"
"MS-T1","MS-T1_GOVERNED_INITIATION_TRIAL","CSV_SCHEMA","TRIAL_CASES.csv","1","2","GovernedObjectID","SCHEMA_COLUMN","SCHEMA_PRESENT"
