"VerificationID","VerificationClass","Subject","RequiredCondition","ObservedEvidence","VerificationStatus","VerifiedAt"
"MS-B3-B3-PASS-01-MANIFEST","PASS_MANIFEST","B3-PASS-01","Pass manifest must exist, be readable, and report PASS.","Exists=True; Readable=True; Result=PASS; Status=COMPLETE","PASS","2026-07-25T02:31:18.1659341-05:00"
"MS-B3-B3-PASS-02-MANIFEST","PASS_MANIFEST","B3-PASS-02","Pass manifest must exist, be readable, and report PASS.","Exists=True; Readable=True; Result=PASS; Status=COMPLETE","PASS","2026-07-25T02:31:18.1679388-05:00"
"MS-B3-B3-PASS-03-MANIFEST","PASS_MANIFEST","B3-PASS-03","Pass manifest must exist, be readable, and report PASS.","Exists=True; Readable=True; Result=PASS; Status=COMPLETE","PASS","2026-07-25T02:31:18.1699473-05:00"
"MS-B3-B3-PASS-04-MANIFEST","PASS_MANIFEST","B3-PASS-04","Pass manifest must exist, be readable, and report PASS.","Exists=True; Readable=True; Result=PASS; Status=COMPLETE","PASS","2026-07-25T02:31:18.1716968-05:00"
"MS-B3-COMMON-MODULE-SYNTAX","MODULE","C:\Users\18177\morning-star\engineering\modules\MorningStar.Engine.Common.psm1","Shared PowerShell module must parse without errors.","ParseErrors=0","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Get-MSDeterministicHash","MODULE_EXPORT","Get-MSDeterministicHash","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Import-MSCsv","MODULE_EXPORT","Import-MSCsv","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Export-MSAtomicCsv","MODULE_EXPORT","Export-MSAtomicCsv","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Assert-MSCondition","MODULE_EXPORT","Assert-MSCondition","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Resolve-MSRepositoryPath","MODULE_EXPORT","Resolve-MSRepositoryPath","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Get-MSBatchContext","MODULE_EXPORT","Get-MSBatchContext","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1737054-05:00"
"MS-B3-EXPORT-Get-MSFileHashRecord","MODULE_EXPORT","Get-MSFileHashRecord","Required shared function must be exported.","Exported=True","PASS","2026-07-25T02:31:18.1757111-05:00"
"MS-B3-ARTIFACT-command-surface.json","RUNTIME_ARTIFACT","C:\Users\18177\morning-star\runtime\cli\command-surface.json","Required runtime artifact must exist.","Exists=True","PASS","2026-07-25T02:31:18.1757111-05:00"
"MS-B3-ARTIFACT-COMMANDS.md","RUNTIME_ARTIFACT","C:\Users\18177\morning-star\runtime\cli\COMMANDS.md","Required runtime artifact must exist.","Exists=True","PASS","2026-07-25T02:31:18.1757111-05:00"
"MS-B3-CANONICAL-CONSOLE","CLI_SURFACE","morning-star","Canonical console command must be morning-star.","Console=morning-star; Target=morning_star.cli.main:main","PASS","2026-07-25T02:31:18.1777181-05:00"
"MS-B3-OPERATIONAL-MODULE-CARDINALITY","OPERATIONAL_RUNTIME","operational.py","Exactly one active operational runtime module must exist.","Count=1","PASS","2026-07-25T02:31:18.5080490-05:00"
"MS-B3-OPERATIONAL-CONFIGURATION","CONFIGURATION","C:\Users\18177\morning-star\runtime\src\morning_star\cli\operational-defaults.json","Operational defaults must exist.","Exists=True","PASS","2026-07-25T02:31:18.5080490-05:00"
"MS-B3-EXIT-CODE-STANDARD","OPERATIONAL_STANDARD","Exit codes","All six standardized exit codes must be present.","Success=0; Operational=1; InvalidInput=2; Configuration=3; Verification=4; Interrupted=130","PASS","2026-07-25T02:31:18.5080490-05:00"
"MS-B3-LOGGING-STANDARD","OPERATIONAL_STANDARD","Logging","Default logging must use INFO and stderr.","Level=INFO; Stream=stderr","PASS","2026-07-25T02:31:18.5243103-05:00"
"MS-B3-DETERMINISM-EVIDENCE","DETERMINISM","Pass 04 execution evidence","Repeated CLI and configuration executions must be stable.","HelpRuns=5; HelpHashes=1; ExitCodes=1; ConfigRuns=5; ConfigHashes=1; Differences=0","PASS","2026-07-25T02:31:18.5323516-05:00"
"MS-B3-PYTHON-COMPILATION","RUNTIME_SYNTAX","Active Python files","Every active Python file must compile.","Files=67; Failures=0","PASS","2026-07-25T02:31:30.3242408-05:00"
"MS-B3-POWERSHELL-SYNTAX","ENGINEERING_SYNTAX","Active PowerShell scripts","Every active PowerShell script must parse.","Scripts=20; Failures=0","PASS","2026-07-25T02:31:30.7734065-05:00"
"MS-B3-STAGE5-REGRESSION","REGRESSION","Stage 5","Stage 5 must remain genuinely validated.","Result=PASS; Executions=22; Verifications=22; Evidence=22; Failures=0","PASS","2026-07-25T02:31:30.7794023-05:00"
"MS-B3-STAGE6-REGRESSION","REGRESSION","Stage 6","Stage 6 must remain complete and closure-eligible.","Result=PASS; Records=42; Failures=0; Eligibility=ELIGIBLE","PASS","2026-07-25T02:31:30.7794023-05:00"
