"CsvFile","TheoremID","SourceFile","CsvRow","RecordIdentity","EntryAuthority","FieldName","ProposedValue","SourceReference","ReviewStatus"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","AssessmentID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","AssessmentID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","AssessorID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","AssessorID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","CaseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","CaseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/OBSERVER_RESPONSES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","CaseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","CaseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","FrameworkID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","FrameworkID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","GovernedObjectID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","GovernedObjectID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ObserverID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/OBSERVER_RESPONSES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ObserverID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","PropertyID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","PropertyID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ResponseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ResponseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/OBSERVER_RESPONSES.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ResponseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","MS-T1","","","","CONTROLLED_ID_ASSIGNMENT","ResponseID","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","AuthoritySource","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","AuthoritySource","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","CanonicalSource","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","CanonicalSource","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","CaseStatus","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","CaseStatus","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","DependencyIDs","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","DependencyIDs","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","GoverningVersion","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","GoverningVersion","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","MaterialPropertyCount","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","MaterialPropertyCount","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","UncertaintyState","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.FIELD_GUIDE.csv","MS-T1","","","","GOVERNED_CASE_DESIGN","UncertaintyState","","",""
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/TRIAL_CASES.MISSING_VALUES.csv","MS-T1","","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_MISSING_VALUE_WORKLIST.csv","MS-T1","","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_MISSING_VALUE_WORKLIST.csv","MS-T1","","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_MISSING_VALUE_WORKLIST.csv","MS-T1","","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","","","",""
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_MISSING_VALUE_WORKLIST.csv","MS-T1","","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","","","",""
