"TransactionID","BatchID","EngineName","EngineVersion","TransactionType","TransactionStatus","TheoremID","SourceFile","CsvRow","RecordIdentity","EntryAuthority","FieldName","CurrentValue","ProposedValue","SourceReference","SourceSHA256","TargetCompletionForm","IssuanceID","DependencyID","CaseID","EvidenceID","AssessmentID","ProposedBy","ProposedAt","ValidationStatus","ValidationMessage","SynchronizationStatus","SynchronizedBy","SynchronizedAt","RollbackStatus","RollbackReference","SupersedesTransactionID","Notes"
"BATCH-A-TXN-426E0A69D1B3F79A","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","CaseID","","MS-T1-CASE-184EB6F19FF5","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","OBSERVER_RESPONSES.csv","","","MS-T1-CASE-184EB6F19FF5","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-D6CC2FFA3F51B2C9","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ObserverID","","MS-T1-OBS-456274BE83B3","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","OBSERVER_RESPONSES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-063133969507C7FC","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ResponseID","","MS-T1-RESP-61AF7F7C6013","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","OBSERVER_RESPONSES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-30BA15020248E9B6","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessmentID","","MS-T1-ASSESS-BC15039C132A","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","SEMANTIC_ASSESSMENTS.csv","","","","","MS-T1-ASSESS-BC15039C132A","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-6F6ABDA213157170","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessorID","","MS-T1-ASSR-192B4076E609","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","SEMANTIC_ASSESSMENTS.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-96DDB2A4685FDE9F","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","PropertyID","","MS-T1-PROP-956D0CDBA8F9","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","SEMANTIC_ASSESSMENTS.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-37992E18AAC05041","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ResponseID","","MS-T1-RESP-014CEC3991DC","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","SEMANTIC_ASSESSMENTS.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-324F65A746BDCD34","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","AuthoritySource","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-367AA7E2A9D60060","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","CanonicalSource","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-41A99F3CC337EE98","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","DependencyIDs","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-064C9931649C8E28","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","FrameworkID","","MS-T1-FRAME-E2E1F47E3AC7","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-2B7FC3F94DB10D9F","BATCH-A","CONTROLLED_ID_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","GovernedObjectID","","MS-T1-GOBJ-60ECF385A2AA","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","NOT_RUN","","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Deterministic controlled identifier generated from the canonical work-item identity."
"BATCH-A-TXN-583F93133B7E5081","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","GoverningVersion","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-60B3AB525B48DAF6","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","MaterialPropertyCount","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-C16442CFDE2AAD64","BATCH-A","GOVERNED_CASE_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","UncertaintyState","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","TRIAL_CASES.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-A88BF93710FD752E","BATCH-A","GOVERNED_DEPENDENCY_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","CanonicalSource","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","DEPENDENCY_CHAINS.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
"BATCH-A-TXN-6B38111223233C15","BATCH-A","GOVERNED_DEPENDENCY_DESIGN_ENGINE","1.0.0","PROPOSE_WORKLIST_VALUE","PROPOSED","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","ChainName","","","./volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF","DEPENDENCY_CHAINS.csv","","","","","","BATCH_A_STAGE_3_PROPOSAL_ENGINE","2026-07-23T18:53:48.6167490-05:00","INDETERMINATE","Governed design value requires constitutional review and cannot be generated automatically.","NOT_SYNCHRONIZED","","","NOT_APPLICABLE","","","Preserved as unresolved; no design value was inferred or fabricated."
