"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","1","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","2","GovernedObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","3","FrameworkID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","4","GoverningVersion","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","5","MaterialPropertyCount","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","6","CanonicalSource","False","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","7","DependencyIDs","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","8","AuthoritySource","False","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","9","UncertaintyState","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","10","CaseStatus","False","GOVERNED_CASE_DESIGN","Use only an authorized value defined by the trial procedure or data dictionary.","True"
