"CleanupRunID","SourcePath","RelativePath","ArtifactName","LengthBytes","SHA256Before","DispositionClass","DispositionReason","DestinationPath","ProtectedArtifact","ProposedAction","PlanStatus"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","11909","11E2EF85C3BF0B9C3EACDDCCA51CF4EC1B9AD4B27AF7CF82B58FBF32C5DF7383","ARCHIVE_TEMPORARY_DEBUG","Temporary, debug, backup, or scratch artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","11962","998826CA67A536DBE9C311E94A96D14F1248C92B19A7FDC3A0D42A05F8C815BC","ARCHIVE_TEMPORARY_DEBUG","Temporary, debug, backup, or scratch artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","11960","9D520C5691C45AAD2F2861169EAEF074414DB1756CC32548B54B962A790E9C0E","ARCHIVE_TEMPORARY_DEBUG","Temporary, debug, backup, or scratch artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Temporary_Debug\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_DERIVATIVE_COPY_MANIFEST.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_EXECUTION_REGISTER.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_POST_SYNCHRONIZATION_HASH_REGISTER.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_PRE_SYNCHRONIZATION_HASH_REGISTER.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Evidence\BATCH_A_STAGE_4_SYNCHRONIZATION_VERIFICATION_REGISTER.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_4_Synchronization\Reports\BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","Stage_4_Synchronization\Reports\BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","3","F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","ARCHIVE_EMPTY_PLACEHOLDER","Zero-length or headerless noncanonical placeholder artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Empty_Placeholders\Stage_4_Synchronization\Reports\BATCH_A_STAGE_4_SYNCHRONIZATION_PLAN.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
"MS-CLEANUP-20260724_171604","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Stage_5_Constitutional_Validation\_FAILED_REPAIR_BACKUP_20260724_165401\Evidence\BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","Stage_5_Constitutional_Validation\_FAILED_REPAIR_BACKUP_20260724_165401\Evidence\BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","2892","B1E698E6C6B2EECB75DF971175331725359D03364D15875F74DFC1E02CF53230","ARCHIVE_FAILED_RUN","Superseded failed-run or failed-repair artifact.","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Archive\Repository_Cleanup_20260724_171604\Failed_Runs\Stage_5_Constitutional_Validation\_FAILED_REPAIR_BACKUP_20260724_165401\Evidence\BATCH_A_STAGE_5_ARTIFACT_INVENTORY.csv","False","MOVE_TO_ARCHIVE","APPROVED_BY_RULE"
